periodo,rs_de0_hasta1sm,rs_de1_hasta2sm,rs_de2_hasta3sm,rs_de3_hasta4sm,rs_de4_hasta5sm,rs_de5_hasta6sm,rs_de6_hasta7sm,rs_de7_hasta8sm,rs_de8_hasta9sm,rs_de9_hasta10sm,rs_de10_hasta11sm,rs_de11_hasta12sm
1997/08,1613243,3845390,1585104,894681,547748,360504,232272,165669,123846,108388,91453,69385
1997/09,1610045,3934119,1616243,895412,555506,369774,239347,177138,131806,111715,95565,71850
1997/10,1607307,3983284,1652631,914527,559318,374338,246989,178632,134264,115618,96598,74964
1997/11,1603030,4000728,1674991,925715,563338,377269,249570,181431,134958,115547,96507,75684
1997/12,1564691,3875763,1658509,927136,565721,380099,253520,184867,136844,118656,100447,78226
1998/01,1806748,4039472,1612015,864625,544585,332069,227244,163189,141888,113704,87408,67522
1998/02,1783677,4036829,1682597,904062,569710,348662,234779,164731,135561,108485,88834,66779
1998/03,1779336,4044184,1714653,932855,580040,363908,246010,172587,141911,111802,91309,70494
1998/04,1787050,4061704,1740849,937421,586629,371236,245567,174486,137506,107654,91356,74746
1998/05,1746536,4030990,1727184,938878,599145,383262,255910,178084,141028,107846,88307,69518
1998/06,1720207,4029481,1743863,969008,603370,391361,257227,183207,148548,116680,97576,80140
1998/07,1702655,4126545,1775445,967150,601462,388298,259690,181072,146679,114854,95597,79825
1998/08,1658919,4148072,1803947,982334,610995,393790,263182,185870,148388,115887,97432,80491
1998/09,1642968,4174547,1838385,998881,617857,401227,268895,188480,151941,116331,97719,80891
1998/10,1631696,4179373,1860330,1007678,632555,408581,282744,195274,152001,118088,98773,80770
1998/11,1631356,4181352,1863514,993267,631041,412786,293948,207288,151663,117965,95335,80600
1998/12,1884575,4285179,1700059,925678,580783,368785,260041,175782,131895,106112,87641,80936
1999/01,1797115,4165537,1752621,954279,621428,391595,271206,186248,141788,117512,96509,88647
1999/02,1797448,4156850,1833117,1003260,648099,406740,274093,186152,140227,112926,93413,85338
1999/03,1785113,4142740,1860197,1023411,663029,419333,284989,194414,145008,116487,94894,88504
1999/04,1759411,4169741,1886648,1035508,668197,421570,282951,193225,143621,113785,89554,84604
1999/05,1710657,4155073,1902807,1047678,666079,429287,293725,202578,149114,119030,96504,93065
1999/06,1653915,4138728,1913691,1069721,686452,441496,305065,209970,154940,121401,96797,92373
1999/07,1646068,4204819,1947129,1075209,680743,438426,302181,204598,152794,121588,97382,94827
1999/08,1635558,4234716,1979485,1088588,686947,442617,299579,206887,156465,122615,98525,94276
1999/09,1625296,4262454,2019056,1112408,697624,454735,306583,210583,156820,124385,99635,96447
1999/10,1609324,4240128,2045969,1115451,718026,458797,317621,224474,163486,126813,104122,87543
1999/11,1624170,4283539,2082485,1134458,722921,462604,321171,232801,166480,126391,106305,89298
1999/12,1597414,4081297,2040936,1124759,725179,467828,326201,236948,171260,128561,107621,88131
2000/01,1792076,4242048,2000157,1065237,687986,441580,305851,214969,160492,131866,110075,93848
2000/02,1768052,4227411,2071989,1137558,719875,462297,313470,217065,160232,126814,102852,90046
2000/03,1746101,4205912,2109272,1158699,743139,477707,324182,224714,164196,131907,104251,91119
2000/04,1710057,4170377,2128239,1170788,747381,481347,325266,226504,167345,134983,104306,91634
2000/05,1677321,4215008,2155652,1180004,746595,487069,328685,230603,166973,135243,103498,88721
2000/06,1633053,4166526,2178226,1206182,769985,506756,343677,243172,178741,141912,108209,97015
2000/07,1613762,4262743,2229805,1217204,771203,499388,341231,237560,173409,140808,103815,90256
2000/08,1596538,4277337,2248986,1233887,775956,510291,341678,237030,178884,140598,106623,94407
2000/09,1575675,4243382,2286396,1255288,789240,518839,345964,239021,180918,146193,108301,98806
2000/10,1570297,4250245,2325207,1264806,800668,522154,349857,257042,184762,149893,111090,97266
2000/11,1570954,4252230,2344433,1273737,803020,524397,353287,262270,187469,149574,110688,98716
2000/12,1525855,4010425,2284677,1259405,801170,523205,355802,266960,188980,151956,113367,99774
2001/01,1632308,4070199,2294335,1227656,771288,513175,348564,250958,185753,143996,122473,98625
2001/02,1606517,4048272,2352132,1282725,781404,528757,356018,253822,186487,139291,113410,91598
