periodo,rs_de0_hasta1sm,rs_de1_hasta2sm,rs_de2_hasta3sm,rs_de3_hasta4sm,rs_de4_hasta5sm,rs_de5_hasta6sm,rs_de6_hasta7sm,rs_de7_hasta8sm,rs_de8_hasta9sm,rs_de9_hasta10sm,rs_de10_hasta11sm,rs_de11_hasta12sm,rs_de12_hasta13sm,rs_de13_hasta14sm,rs_de14_hasta15sm,rs_de15_hasta16sm,rs_de16_hasta17sm
1997/08,1613243,3845390,1585104,894681,547748,360504,232272,165669,123846,108388,91453,69385,53667,44349,35145,29241,24451
1997/09,1610045,3934119,1616243,895412,555506,369774,239347,177138,131806,111715,95565,71850,54549,45235,36265,29819,25058
1997/10,1607307,3983284,1652631,914527,559318,374338,246989,178632,134264,115618,96598,74964,58433,48637,37491,30488,25883
1997/11,1603030,4000728,1674991,925715,563338,377269,249570,181431,134958,115547,96507,75684,60472,50015,38096,31396,26875
1997/12,1564691,3875763,1658509,927136,565721,380099,253520,184867,136844,118656,100447,78226,61098,51012,38448,32084,27310
1998/01,1806748,4039472,1612015,864625,544585,332069,227244,163189,141888,113704,87408,67522,52538,41580,35236,29287,24325
1998/02,1783677,4036829,1682597,904062,569710,348662,234779,164731,135561,108485,88834,66779,50557,40676,32902,27785,22717
1998/03,1779336,4044184,1714653,932855,580040,363908,246010,172587,141911,111802,91309,70494,52458,42315,33465,28685,23808
1998/04,1787050,4061704,1740849,937421,586629,371236,245567,174486,137506,107654,91356,74746,57054,44631,35882,30083,24945
1998/05,1746536,4030990,1727184,938878,599145,383262,255910,178084,141028,107846,88307,69518,53519,44496,38585,34702,29865
1998/06,1720207,4029481,1743863,969008,603370,391361,257227,183207,148548,116680,97576,80140,61555,47053,38796,32388,27752
1998/07,1702655,4126545,1775445,967150,601462,388298,259690,181072,146679,114854,95597,79825,60258,46867,38400,31764,27130
1998/08,1658919,4148072,1803947,982334,610995,393790,263182,185870,148388,115887,97432,80491,61788,47495,38681,32005,27446
1998/09,1642968,4174547,1838385,998881,617857,401227,268895,188480,151941,116331,97719,80891,63676,50155,39712,33221,28580
1998/10,1631696,4179373,1860330,1007678,632555,408581,282744,195274,152001,118088,98773,80770,67222,56683,44602,35235,29426
1998/11,1631356,4181352,1863514,993267,631041,412786,293948,207288,151663,117965,95335,80600,72990,65167,48602,36974,31020
1998/12,1884575,4285179,1700059,925678,580783,368785,260041,175782,131895,106112,87641,80936,61561,43872,35608,30630,25236
1999/01,1797115,4165537,1752621,954279,621428,391595,271206,186248,141788,117512,96509,88647,68041,48604,40298,34352,28872
1999/02,1797448,4156850,1833117,1003260,648099,406740,274093,186152,140227,112926,93413,85338,65406,46331,37704,32062,26647
1999/03,1785113,4142740,1860197,1023411,663029,419333,284989,194414,145008,116487,94894,88504,67874,49105,39522,34487,28782
1999/04,1759411,4169741,1886648,1035508,668197,421570,282951,193225,143621,113785,89554,84604,65881,48656,40379,36422,31968
1999/05,1710657,4155073,1902807,1047678,666079,429287,293725,202578,149114,119030,96504,93065,75747,55312,43442,37855,31118
1999/06,1653915,4138728,1913691,1069721,686452,441496,305065,209970,154940,121401,96797,92373,77119,58625,44735,39223,32108
1999/07,1646068,4204819,1947129,1075209,680743,438426,302181,204598,152794,121588,97382,94827,77062,55331,43637,38347,31673
1999/08,1635558,4234716,1979485,1088588,686947,442617,299579,206887,156465,122615,98525,94276,78088,57291,44978,39977,32585
1999/09,1625296,4262454,2019056,1112408,697624,454735,306583,210583,156820,124385,99635,96447,79105,57503,44827,39854,32507
1999/10,1609324,4240128,2045969,1115451,718026,458797,317621,224474,163486,126813,104122,87543,81749,70162,52193,40736,33649
1999/11,1624170,4283539,2082485,1134458,722921,462604,321171,232801,166480,126391,106305,89298,76220,70212,55058,44891,34365
1999/12,1597414,4081297,2040936,1124759,725179,467828,326201,236948,171260,128561,107621,88131,75453,71082,57189,46212,35632
2000/01,1792076,4242048,2000157,1065237,687986,441580,305851,214969,160492,131866,110075,93848,81493,65314,49772,39969,33918
2000/02,1768052,4227411,2071989,1137558,719875,462297,313470,217065,160232,126814,102852,90046,79517,62934,48394,37728,32249
2000/03,1746101,4205912,2109272,1158699,743139,477707,324182,224714,164196,131907,104251,91119,82067,65397,48365,38320,33477
2000/04,1710057,4170377,2128239,1170788,747381,481347,325266,226504,167345,134983,104306,91634,83507,68496,50777,40683,34756
2000/05,1677321,4215008,2155652,1180004,746595,487069,328685,230603,166973,135243,103498,88721,78649,65885,49631,40697,36471
2000/06,1633053,4166526,2178226,1206182,769985,506756,343677,243172,178741,141912,108209,97015,86835,74179,54306,43963,37734
2000/07,1613762,4262743,2229805,1217204,771203,499388,341231,237560,173409,140808,103815,90256,80917,67260,51268,45421,40286
2000/08,1596538,4277337,2248986,1233887,775956,510291,341678,237030,178884,140598,106623,94407,85931,72354,54042,43691,37823
2000/09,1575675,4243382,2286396,1255288,789240,518839,345964,239021,180918,146193,108301,98806,87269,74154,54611,44071,37680
2000/10,1570297,4250245,2325207,1264806,800668,522154,349857,257042,184762,149893,111090,97266,77547,77400,65592,53200,40328
2000/11,1570954,4252230,2344433,1273737,803020,524397,353287,262270,187469,149574,110688,98716,77946,75122,66385,53421,40510
2000/12,1525855,4010425,2284677,1259405,801170,523205,355802,266960,188980,151956,113367,99774,77904,76394,66505,54213,41052
2001/01,1632308,4070199,2294335,1227656,771288,513175,348564,250958,185753,143996,122473,98625,90840,79065,64398,48469,40148
2001/02,1606517,4048272,2352132,1282725,781404,528757,356018,253822,186487,139291,113410,91598,84065,74116,60255,45614,36442
2001/03,1580647,3976930,2356778,1298573,792076,535367,362100,254819,189593,140706,116886,93050,84850,74791,61393,45981,37652
2001/04,1559793,3962402,2356645,1299828,802815,540458,367929,257212,187745,141509,114539,89384,79355,71365,59029,44860,38195
2001/05,1524933,3962985,2337552,1305505,799049,540038,366924,264311,193975,144448,118653,93648,84087,78592,64739,48325,40444
2001/06,1456787,3880005,2319374,1312956,816696,549226,378766,268940,199017,148416,121074,95767,87384,82010,66799,50129,42444
2001/07,1432153,3950882,2341610,1300549,814278,543053,368789,266768,195349,146156,119389,93611,85969,78917,64779,47946,40346
2001/08,1411451,3951082,2343056,1307467,818178,543990,367577,263545,191693,145847,117230,92334,86136,79375,65235,48309,40558
2001/09,1381473,3900271,2349733,1314580,824774,546715,371489,263309,194845,148071,118375,93061,87312,79655,66834,49114,41458
2001/10,1373559,3925963,2357889,1323273,828790,551466,372670,269854,196078,150402,118660,94868,80611,78496,67291,55919,43368
2001/11,1379585,3933134,2364131,1322259,827096,550732,373585,273325,200666,151254,119049,98237,83647,73648,69089,56407,45086
2001/12,1346713,3770422,2296173,1299830,823455,548350,374023,275792,202860,152610,118497,97375,82876,71429,68911,58096,46527
2002/01,1419227,3813609,2255998,1266824,809366,533211,362201,265379,196746,152044,122534,103091,86381,84055,72109,58071,45203
2002/02,1422702,3856281,2267587,1277491,818838,536144,365867,267568,198251,152050,121250,102395,86052,84004,71835,58064,44892
2002/03,1372926,3780213,2309007,1318289,836313,544824,377697,271242,198498,154577,120316,94772,81589,79951,67457,55506,41689
2002/04,1378043,3860608,2336515,1328743,839645,546891,378997,270795,198566,153842,119714,94201,81322,78159,69254,55760,42787
2002/05,1309452,3829741,2346296,1347144,852217,554355,383891,275959,199386,155982,120405,94973,78953,75446,66887,57650,45295
2002/06,1287667,3841907,2325983,1338154,850484,552618,382580,274102,198517,155500,119644,94532,78749,74876,66520,57658,45149
2002/07,1268728,3832733,2342113,1349421,869177,569348,390499,282458,204559,159734,124505,99571,87143,81652,72327,56900,44219
2002/08,1264178,3842507,2326010,1341205,870093,567687,388997,281395,203352,159710,123438,98628,86768,81425,72127,56676,44016
2002/09,1238387,3852095,2388809,1369528,860287,571365,389550,281062,204144,154708,122641,98575,84255,80156,70877,58692,44428
2002/10,1245868,3903961,2393472,1366257,859027,570536,390291,280525,203919,154789,122015,98851,84049,79378,71094,58948,44617
2002/11,1223086,3841693,2425717,1383277,871736,577443,394166,284303,209342,158819,122801,100505,89274,72568,73878,60294,50826
2002/12,1221682,3737549,2351383,1354458,861100,571814,390381,281299,207451,157104,121503,99970,88545,72013,73722,59800,50918
2003/01,975844,3980850,2358404,1349371,873092,555023,394093,288202,208745,160600,127205,106096,86548,80863,72271,62194,46431
2003/02,977691,4009626,2355826,1358787,878457,559625,396120,290282,209278,160584,126941,106175,86621,81228,72301,61995,46646
2003/03,942153,3968686,2391846,1402675,903296,575532,400848,291008,208246,160358,123117,104317,84528,80276,70970,61776,46228
2003/04,919843,3993442,2385722,1397923,900898,573885,399870,293767,207600,160036,123093,103543,83738,77929,72478,62021,47178
2003/05,860447,3943062,2382082,1413478,877592,593265,396251,306517,215914,162250,122358,101996,81243,73169,67914,61586,49120
2003/06,839179,3968749,2378444,1414664,883744,586645,396300,306203,215033,162222,122621,102620,81449,73167,67914,61800,49339
2003/07,787940,3923754,2384026,1411882,912990,601245,409418,316546,218767,166131,128590,107302,88139,79311,76076,65347,49143
2003/08,759195,3944011,2373280,1405975,908967,599669,406163,315767,217925,165402,127696,106720,87665,78979,75913,65052,49091
2003/09,727306,3993521,2451229,1430055,914888,597936,400799,312658,217516,161869,125949,105031,84969,76594,74432,63428,47881
2003/10,701232,4095431,2474671,1431201,910258,602856,398517,314876,218064,163607,125396,105440,85549,76296,74847,63430,48192
2003/11,668373,4050968,2507414,1454286,924548,610979,411727,316876,219884,163975,127817,109937,88695,71894,75036,63365,55408
2003/12,659078,3969416,2432431,1428098,915165,619642,407948,314160,218101,163046,126814,109822,88009,71845,74773,63199,55489
2004/01,672587,4026339,2389702,1431330,911958,592095,409596,314649,222868,171453,129908,112031,88706,81534,76756,64592,50856
2004/02,663183,4067461,2389100,1448146,918190,595877,411005,315526,221738,170660,129761,111680,88738,81627,76830,64803,50857
2004/03,635798,4079542,2465080,1483743,945433,619142,419112,320220,219903,166685,126668,108703,87468,79863,73635,64895,49943
2004/04,608531,4130054,2465908,1483704,945024,618256,419137,319505,219479,166988,127429,108114,87177,76700,74880,66012,50404
