periodo,rs_de0_hasta1SM,rs_de1_hasta2SM,rs_de2_hasta3SM,rs_de3_hasta4SM,rs_de4_hasta5SM,rs_de5_hasta6SM,rs_de6_hasta7SM,rs_de7_hasta8SM,rs_de8_hasta9SM,rs_de9_hasta10SM,rs_de10_hasta11SM,rs_de11_hasta12SM,rs_de12_hasta13SM,rs_de13_hasta14SM,rs_de14_hasta15SM,rs_de15_hasta16SM,rs_de16_hasta17SM,rs_de17_hasta18SM,rs_de18_hasta19SM,rs_de19_hasta20SM,rs_de20_hasta21SM,rs_de21_hasta22SM,rs_de22_hasta23SM,rs_de23_hasta24SM,rs_de24_hasta25SM
1997/08,1613243,3845390,1585104,894681,547748,360504,232272,165669,123846,108388,91453,69385,53667,44349,35145,29241,24451,21399,17271,16046,12856,32379,7994,7673,107200
1997/09,1610045,3934119,1616243,895412,555506,369774,239347,177138,131806,111715,95565,71850,54549,45235,36265,29819,25058,21585,17502,16184,13058,21360,8982,8360,111736
1997/10,1607307,3983284,1652631,914527,559318,374338,246989,178632,134264,115618,96598,74964,58433,48637,37491,30488,25883,22320,18242,16811,13371,19846,9712,9146,114629
1997/11,1603030,4000728,1674991,925715,563338,377269,249570,181431,134958,115547,96507,75684,60472,50015,38096,31396,26875,22913,18678,17000,14011,19482,10306,9528,124138
1997/12,1564691,3875763,1658509,927136,565721,380099,253520,184867,136844,118656,100447,78226,61098,51012,38448,32084,27310,23157,19240,17744,14468,19342,10778,9846,127861
1998/01,1806748,4039472,1612015,864625,544585,332069,227244,163189,141888,113704,87408,67522,52538,41580,35236,29287,24325,20815,19476,14679,13049,29704,8827,8927,110953
1998/02,1783677,4036829,1682597,904062,569710,348662,234779,164731,135561,108485,88834,66779,50557,40676,32902,27785,22717,19480,17886,13652,12095,22540,9174,8360,110060
1998/03,1779336,4044184,1714653,932855,580040,363908,246010,172587,141911,111802,91309,70494,52458,42315,33465,28685,23808,20108,18020,14076,12372,20742,9304,8679,113323
1998/04,1787050,4061704,1740849,937421,586629,371236,245567,174486,137506,107654,91356,74746,57054,44631,35882,30083,24945,21492,19621,15300,13406,20150,9849,9119,117642
1998/05,1746536,4030990,1727184,938878,599145,383262,255910,178084,141028,107846,88307,69518,53519,44496,38585,34702,29865,25018,22048,17542,15218,20890,11875,10812,128108
1998/06,1720207,4029481,1743863,969008,603370,391361,257227,183207,148548,116680,97576,80140,61555,47053,38796,32388,27752,23912,21023,17067,15130,19795,11013,10485,125470
1998/07,1702655,4126545,1775445,967150,601462,388298,259690,181072,146679,114854,95597,79825,60258,46867,38400,31764,27130,23497,20622,16498,14615,19044,10964,10202,124836
1998/08,1658919,4148072,1803947,982334,610995,393790,263182,185870,148388,115887,97432,80491,61788,47495,38681,32005,27446,23563,21089,16707,14528,18642,11191,10584,134007
1998/09,1642968,4174547,1838385,998881,617857,401227,268895,188480,151941,116331,97719,80891,63676,50155,39712,33221,28580,24767,21646,17657,15297,18571,11359,10819,130568
